,id,time,geometry,Throttle Position.value,Throttle Position.unit,CO2.value,CO2.unit,GPS VDOP.value,GPS VDOP.unit,GPS Bearing.value,GPS Bearing.unit,GPS Speed.value,GPS Speed.unit,GPS Altitude.value,GPS Altitude.unit,Rpm.value,Rpm.unit,GPS Accuracy.value,GPS Accuracy.unit,GPS HDOP.value,GPS HDOP.unit,Intake Temperature.value,Intake Temperature.unit,Speed.value,Speed.unit,Intake Pressure.value,Intake Pressure.unit,Consumption.value,Consumption.unit,Calculated MAF.value,Calculated MAF.unit,Engine Load.value,Engine Load.unit,GPS PDOP.value,GPS PDOP.unit,track.id,track.length,track.begin,track.end,sensor.type,sensor.engineDisplacement,sensor.model,sensor.id,sensor.fuelType,sensor.constructionYear,sensor.manufacturer,track.appVersion,track.touVersion,O2 Lambda Voltage ER.value,O2 Lambda Voltage ER.unit,MAF.value,MAF.unit,O2 Lambda Voltage.value,O2 Lambda Voltage.unit
321,5ddcdd4a44ea85025cfdf8b5,2019-11-25T16:18:28,POINT (7.626853607968849 51.93704613715579),15.0,%,4.87831,kg/h,0.957916,precision,253.898169,deg,12.368718,km/h,102.165886,m,1169.182252,u/min,4.0,%,0.857916,precision,9.283668,c,12.0,km/h,36.386935,kPa,2.075877,l/h,6.31499,g/s,36.965219,%,1.257916,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
322,5ddcdd4a44ea85025cfdf8b6,2019-11-25T16:18:33,POINT (7.626583557490223 51.93699940895637),13.51,%,2.792595,kg/h,0.9,precision,253.539885,deg,15.222956,km/h,102.330683,m,857.992587,u/min,4.0,%,0.917964,precision,9.0,c,15.0,km/h,28.356084,kPa,1.188338,l/h,3.615024,g/s,29.813234,%,1.317964,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
323,5ddcdd4a44ea85025cfdf8b7,2019-11-25T16:18:38,POINT (7.626322172386088 51.93694785579141),13.0,%,3.764209,kg/h,0.9,precision,252.913344,deg,13.862187,km/h,102.530992,m,993.04041,u/min,4.0,%,0.83477,precision,9.0,c,14.0,km/h,33.023923,kPa,1.601791,l/h,4.872782,g/s,33.098612,%,1.23477,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
324,5ddcdd4a44ea85025cfdf8b8,2019-11-25T16:18:43,POINT (7.626018155067332 51.9368938897251),14.0,%,4.598097,kg/h,0.9,precision,253.635395,deg,17.818092,km/h,102.867512,m,1248.41791,u/min,4.0,%,0.8,precision,9.0,c,18.0,km/h,32.087806,kPa,1.956637,l/h,5.952253,g/s,32.849026,%,1.2,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
325,5ddcdd4a44ea85025cfdf8b9,2019-11-25T16:18:48,POINT (7.62570535724699 51.93683298255256),13.0,%,2.90726,kg/h,0.9,precision,253.344598,deg,14.303572,km/h,103.168749,m,819.937003,u/min,3.27972,%,0.9,precision,10.0,c,12.522321,km/h,31.0,kPa,1.237132,l/h,3.763458,g/s,31.740731,%,1.3,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
326,5ddcdd4a44ea85025cfdf8ba,2019-11-25T16:18:53,POINT (7.625447023121876 51.93678193841963),13.3531,%,2.761266,kg/h,1.1,precision,252.587261,deg,13.657427,km/h,103.307525,m,801.878935,u/min,4.0,%,1.080444,precision,9.0,c,11.3525,km/h,30.0,kPa,1.175007,l/h,3.574468,g/s,31.325146,%,1.580444,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
327,5ddcdd4a44ea85025cfdf8bb,2019-11-25T16:18:58,POINT (7.625141173067094 51.93672678488868),15.280556,%,5.620417,kg/h,6.173054,precision,253.728168,deg,15.683456,km/h,104.121599,m,1398.878789,u/min,8.0,%,3.362874,precision,9.532085,c,11.0,km/h,35.069414,kPa,2.391667,l/h,7.275649,g/s,36.700765,%,7.107186,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
328,5ddcdd4a44ea85025cfdf8bc,2019-11-25T16:19:03,POINT (7.624854850779502 51.93667655615165),13.0,%,2.63994,kg/h,5.879238,precision,253.305876,deg,12.514906,km/h,103.419526,m,769.362709,u/min,12.0,%,2.310933,precision,10.0,c,6.0,km/h,30.0,kPa,1.123379,l/h,3.417411,g/s,31.056645,%,6.318857,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
329,5ddcdd4a44ea85025cfdf8bd,2019-11-25T16:19:08,POINT (7.624684394506493 51.93664542707901),16.192803,%,5.730345,kg/h,90.407208,precision,252.817987,deg,10.741774,km/h,103.189599,m,1013.657861,u/min,24.349636,%,17.500901,precision,10.0,c,3.643216,km/h,49.42512,kPa,2.438445,l/h,7.417952,g/s,50.611482,%,92.107208,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
330,5ddcdd4a44ea85025cfdf8be,2019-11-25T16:19:13,POINT (7.624243076247182 51.93642346047811),13.0,%,2.648998,kg/h,91.946197,precision,252.153756,deg,19.518288,km/h,179.683347,m,806.321783,u/min,19.907444,%,91.931772,precision,9.0,c,11.666667,km/h,28.621681,kPa,1.127233,l/h,3.429138,g/s,29.311212,%,130.017931,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
331,5ddcdd4a44ea85025cfdf8bf,2019-11-25T16:19:18,POINT (7.624392440063264 51.93650095867467),16.20442,%,4.538512,kg/h,1.520902,precision,252.181153,deg,7.734072,km/h,115.739755,m,977.348554,u/min,12.0,%,1.347029,precision,10.271052,c,7.0,km/h,40.638523,kPa,1.931282,l/h,5.87512,g/s,40.158732,%,2.047029,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
332,5ddcdd4a44ea85025cfdf8c0,2019-11-25T16:19:23,POINT (7.62435209883784 51.93652070053088),17.254117,%,7.63642,kg/h,1.3,precision,253.040033,deg,13.964829,km/h,109.574598,m,1732.61186,u/min,7.744807,%,1.1,precision,10.0,c,13.535433,km/h,38.534247,kPa,3.24954,l/h,9.885372,g/s,38.428453,%,1.7,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
333,5ddcdd4a44ea85025cfdf8c1,2019-11-25T16:19:28,POINT (7.624064829544352 51.93648524055358),13.0,%,2.734665,kg/h,1.559517,precision,253.49938,deg,14.933471,km/h,107.605804,m,771.90625,u/min,6.0,%,1.419033,precision,10.237237,c,14.0,km/h,30.999999,kPa,1.163687,l/h,3.540034,g/s,31.764705,%,2.039275,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
334,5ddcdd4a44ea85025cfdf8c2,2019-11-25T16:19:33,POINT (7.623828247010897 51.9364576270026),13.0,%,2.575889,kg/h,1.220161,precision,253.806081,deg,10.54711,km/h,106.611842,m,753.34748,u/min,6.0,%,1.166936,precision,11.0,c,9.0,km/h,30.0,kPa,1.096123,l/h,3.334497,g/s,30.998492,%,1.666936,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
335,5ddcdd4a44ea85025cfdf8c3,2019-11-25T16:19:38,POINT (7.623652626612385 51.93643397787967),18.0,%,9.391513,kg/h,1.0,precision,254.201952,deg,13.583667,km/h,106.500897,m,1417.400021,u/min,6.0,%,0.835365,precision,10.0,c,11.013089,km/h,57.92973,kPa,3.996389,l/h,12.157347,g/s,59.860474,%,1.3,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
336,5ddcdd4a44ea85025cfdf8c4,2019-11-25T16:19:43,POINT (7.623380839907281 51.93638941101172),13.0,%,2.749928,kg/h,1.0,precision,254.161783,deg,11.699559,km/h,106.180755,m,775.564505,u/min,6.0,%,0.9,precision,10.0,c,11.0,km/h,31.000001,kPa,1.170182,l/h,3.559791,g/s,32.156865,%,1.3,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
337,5ddcdd4a44ea85025cfdf8c5,2019-11-25T16:19:49,POINT (7.623211223000242 51.93636537763214),13.361478,%,2.926099,kg/h,1.0,precision,254.58438,deg,8.625576,km/h,106.147063,m,802.284565,u/min,6.0,%,0.9,precision,11.0,c,6.08094,km/h,32.0,kPa,1.245148,l/h,3.787845,g/s,32.88379,%,1.3,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
338,5ddcdd4a44ea85025cfdf8c6,2019-11-25T16:19:54,POINT (7.623102099526172 51.93634626131464),15.486352,%,5.791824,kg/h,1.099605,precision,255.171386,deg,8.094045,km/h,106.612662,m,1055.290333,u/min,6.0,%,0.949802,precision,11.0,c,5.0,km/h,48.154055,kPa,2.464606,l/h,7.497537,g/s,49.272377,%,1.399605,precision,5ddcdd4a44ea85025cfdf878,8.518259726458794,2019-11-25T16:13:34Z,2019-11-25T16:33:56Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
